INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
NIFTY200 MOMENTUM 30,,,3981.7459,,,,2008-01-01
NIFTY200 MOMENTUM 30,,,4050.9695,,,,2008-01-02
NIFTY200 MOMENTUM 30,,,4086.153,,,,2008-01-03
NIFTY200 MOMENTUM 30,,,4150.3238,,,,2008-01-04
NIFTY200 MOMENTUM 30,,,4156.0901,,,,2008-01-07
NIFTY200 MOMENTUM 30,,,4129.4955,,,,2008-01-08
NIFTY200 MOMENTUM 30,,,4092.3347,,,,2008-01-09
NIFTY200 MOMENTUM 30,,,3945.6723,,,,2008-01-10
NIFTY200 MOMENTUM 30,,,3967.0028,,,,2008-01-11
NIFTY200 MOMENTUM 30,,,4063.5644,,,,2008-01-14
NIFTY200 MOMENTUM 30,,,3976.1452,,,,2008-01-15
NIFTY200 MOMENTUM 30,,,3912.5859,,,,2008-01-16
NIFTY200 MOMENTUM 30,,,3899.918,,,,2008-01-17
NIFTY200 MOMENTUM 30,,,3692.0214,,,,2008-01-18
NIFTY200 MOMENTUM 30,,,3174.9266,,,,2008-01-21
NIFTY200 MOMENTUM 30,,,2972.2349,,,,2008-01-22
NIFTY200 MOMENTUM 30,,,3242.5805,,,,2008-01-23
NIFTY200 MOMENTUM 30,,,3081.1739,,,,2008-01-24
NIFTY200 MOMENTUM 30,,,3376.6975,,,,2008-01-25
NIFTY200 MOMENTUM 30,,,3352.3723,,,,2008-01-28
NIFTY200 MOMENTUM 30,,,3334.0221,,,,2008-01-29
NIFTY200 MOMENTUM 30,,,3221.5999,,,,2008-01-30
NIFTY200 MOMENTUM 30,,,3187.6896,,,,2008-01-31
NIFTY200 MOMENTUM 30,,,3225.4178,,,,2008-02-01
NIFTY200 MOMENTUM 30,,,3321.2456,,,,2008-02-04
NIFTY200 MOMENTUM 30,,,3393.291,,,,2008-02-05
NIFTY200 MOMENTUM 30,,,3319.2242,,,,2008-02-06
NIFTY200 MOMENTUM 30,,,3187.7346,,,,2008-02-07
NIFTY200 MOMENTUM 30,,,3125.5303,,,,2008-02-08
NIFTY200 MOMENTUM 30,,,2874.4613,,,,2008-02-11
NIFTY200 MOMENTUM 30,,,2868.3652,,,,2008-02-12
NIFTY200 MOMENTUM 30,,,2907.8302,,,,2008-02-13
NIFTY200 MOMENTUM 30,,,3125.1116,,,,2008-02-14
NIFTY200 MOMENTUM 30,,,3192.8565,,,,2008-02-15
NIFTY200 MOMENTUM 30,,,3187.247,,,,2008-02-18
NIFTY200 MOMENTUM 30,,,3191.9144,,,,2008-02-19
NIFTY200 MOMENTUM 30,,,3082.4163,,,,2008-02-20
NIFTY200 MOMENTUM 30,,,3114.8875,,,,2008-02-21
NIFTY200 MOMENTUM 30,,,3055.1658,,,,2008-02-22
NIFTY200 MOMENTUM 30,,,3095.3234,,,,2008-02-25
NIFTY200 MOMENTUM 30,,,3149.1227,,,,2008-02-26
NIFTY200 MOMENTUM 30,,,3153.9127,,,,2008-02-27
NIFTY200 MOMENTUM 30,,,3136.5657,,,,2008-02-28
NIFTY200 MOMENTUM 30,,,3104.6713,,,,2008-02-29
NIFTY200 MOMENTUM 30,,,2897.3826,,,,2008-03-03
NIFTY200 MOMENTUM 30,,,2821.4058,,,,2008-03-04
NIFTY200 MOMENTUM 30,,,2812.2957,,,,2008-03-05
NIFTY200 MOMENTUM 30,,,2665.1961,,,,2008-03-07
NIFTY200 MOMENTUM 30,,,2673.6341,,,,2008-03-10
NIFTY200 MOMENTUM 30,,,2774.8919,,,,2008-03-11
NIFTY200 MOMENTUM 30,,,2780.4847,,,,2008-03-12
NIFTY200 MOMENTUM 30,,,2565.9496,,,,2008-03-13
NIFTY200 MOMENTUM 30,,,2652.9081,,,,2008-03-14
NIFTY200 MOMENTUM 30,,,2463.0083,,,,2008-03-17
NIFTY200 MOMENTUM 30,,,2445.0365,,,,2008-03-18
NIFTY200 MOMENTUM 30,,,2449.4949,,,,2008-03-19
NIFTY200 MOMENTUM 30,,,2397.6208,,,,2008-03-24
NIFTY200 MOMENTUM 30,,,2594.9732,,,,2008-03-25
NIFTY200 MOMENTUM 30,,,2580.7682,,,,2008-03-26
NIFTY200 MOMENTUM 30,,,2561.5922,,,,2008-03-27
NIFTY200 MOMENTUM 30,,,2679.5112,,,,2008-03-28
NIFTY200 MOMENTUM 30,,,2558.9628,,,,2008-03-31
NIFTY200 MOMENTUM 30,,,2540.2064,,,,2008-04-01
NIFTY200 MOMENTUM 30,,,2518.5901,,,,2008-04-02
NIFTY200 MOMENTUM 30,,,2521.1663,,,,2008-04-03
NIFTY200 MOMENTUM 30,,,2444.2911,,,,2008-04-04
NIFTY200 MOMENTUM 30,,,2508.1239,,,,2008-04-07
NIFTY200 MOMENTUM 30,,,2476.5066,,,,2008-04-08
NIFTY200 MOMENTUM 30,,,2519.8515,,,,2008-04-09
NIFTY200 MOMENTUM 30,,,2547.5685,,,,2008-04-10
NIFTY200 MOMENTUM 30,,,2599.4652,,,,2008-04-11
NIFTY200 MOMENTUM 30,,,2646.7971,,,,2008-04-15
NIFTY200 MOMENTUM 30,,,2667.1424,,,,2008-04-16
NIFTY200 MOMENTUM 30,,,2715.5504,,,,2008-04-17
NIFTY200 MOMENTUM 30,,,2792.6111,,,,2008-04-21
NIFTY200 MOMENTUM 30,,,2844.0248,,,,2008-04-22
NIFTY200 MOMENTUM 30,,,2818.5373,,,,2008-04-23
NIFTY200 MOMENTUM 30,,,2815.6702,,,,2008-04-24
NIFTY200 MOMENTUM 30,,,2873.5777,,,,2008-04-25
NIFTY200 MOMENTUM 30,,,2867.2763,,,,2008-04-28
NIFTY200 MOMENTUM 30,,,2937.1768,,,,2008-04-29
NIFTY200 MOMENTUM 30,,,2922.6713,,,,2008-04-30
NIFTY200 MOMENTUM 30,,,2979.4933,,,,2008-05-02
NIFTY200 MOMENTUM 30,,,2967.4111,,,,2008-05-05
NIFTY200 MOMENTUM 30,,,2905.7059,,,,2008-05-06
NIFTY200 MOMENTUM 30,,,2895.69,,,,2008-05-07
NIFTY200 MOMENTUM 30,,,2851.6705,,,,2008-05-08
NIFTY200 MOMENTUM 30,,,2739.9344,,,,2008-05-09
NIFTY200 MOMENTUM 30,,,2768.4254,,,,2008-05-12
NIFTY200 MOMENTUM 30,,,2754.5005,,,,2008-05-13
NIFTY200 MOMENTUM 30,,,2804.3218,,,,2008-05-14
NIFTY200 MOMENTUM 30,,,2877.6047,,,,2008-05-15
NIFTY200 MOMENTUM 30,,,2924.739,,,,2008-05-16
NIFTY200 MOMENTUM 30,,,2894.9576,,,,2008-05-20
NIFTY200 MOMENTUM 30,,,2940.2677,,,,2008-05-21
NIFTY200 MOMENTUM 30,,,2874.5503,,,,2008-05-22
NIFTY200 MOMENTUM 30,,,2810.3021,,,,2008-05-23
NIFTY200 MOMENTUM 30,,,2730.5597,,,,2008-05-26
NIFTY200 MOMENTUM 30,,,2695.4572,,,,2008-05-27
NIFTY200 MOMENTUM 30,,,2727.1303,,,,2008-05-28
NIFTY200 MOMENTUM 30,,,2707.9762,,,,2008-05-29
NIFTY200 MOMENTUM 30,,,2706.5617,,,,2008-05-30
NIFTY200 MOMENTUM 30,,,2610.9127,,,,2008-06-02
NIFTY200 MOMENTUM 30,,,2597.4037,,,,2008-06-03
NIFTY200 MOMENTUM 30,,,2479.0148,,,,2008-06-04
NIFTY200 MOMENTUM 30,,,2540.6938,,,,2008-06-05
NIFTY200 MOMENTUM 30,,,2512.5725,,,,2008-06-06
NIFTY200 MOMENTUM 30,,,2451.2613,,,,2008-06-09
NIFTY200 MOMENTUM 30,,,2432.9364,,,,2008-06-10
NIFTY200 MOMENTUM 30,,,2469.001,,,,2008-06-11
NIFTY200 MOMENTUM 30,,,2506.4953,,,,2008-06-12
NIFTY200 MOMENTUM 30,,,2479.4985,,,,2008-06-13
NIFTY200 MOMENTUM 30,,,2506.1598,,,,2008-06-16
NIFTY200 MOMENTUM 30,,,2572.6902,,,,2008-06-17
NIFTY200 MOMENTUM 30,,,2515.2679,,,,2008-06-18
NIFTY200 MOMENTUM 30,,,2460.9118,,,,2008-06-19
NIFTY200 MOMENTUM 30,,,2350.5728,,,,2008-06-20
NIFTY200 MOMENTUM 30,,,2251.092,,,,2008-06-23
NIFTY200 MOMENTUM 30,,,2200.283,,,,2008-06-24
NIFTY200 MOMENTUM 30,,,2250.7089,,,,2008-06-25
NIFTY200 MOMENTUM 30,,,2271.541,,,,2008-06-26
NIFTY200 MOMENTUM 30,,,2174.6668,,,,2008-06-27
NIFTY200 MOMENTUM 30,,,2091.2637,,,,2008-06-30
NIFTY200 MOMENTUM 30,,,1987.4937,,,,2008-07-01
NIFTY200 MOMENTUM 30,,,2113.1963,,,,2008-07-02
NIFTY200 MOMENTUM 30,,,1999.0246,,,,2008-07-03
NIFTY200 MOMENTUM 30,,,2077.5166,,,,2008-07-04
NIFTY200 MOMENTUM 30,,,2082.969,,,,2008-07-07
NIFTY200 MOMENTUM 30,,,2068.704,,,,2008-07-08
NIFTY200 MOMENTUM 30,,,2173.349,,,,2008-07-09
NIFTY200 MOMENTUM 30,,,2188.4232,,,,2008-07-10
